"Name","Team","Age","PA","Events","EV","maxEV","LA","Barrels","Barrel%","HardHit","HardHit%","AVG","xBA","SLG","xSLG","wOBA","xwOBA","WAR","K%","BABIP","BB%","playerid"
"Ryan Mountcastle","BAL","24","586","380","89.1","114.6","16.3","45","11.8%","151","39.7%",".255",".243",".487",".451",".335",".325","1.4","27.5%",".297","7.0%","18373"
"Andrew McCutchen","PHI","34","574","357","88.8","110.8","14.6","32","9.0%","141","39.5%",".222",".235",".444",".420",".335",".341","1.2","23.0%",".242","14.1%","9847"
"Eduardo Escobar","- - -","32","599","426","87.0","110.8","20.8","38","8.9%","145","34.0%",".253",".247",".472",".447",".334",".324","3.0","20.7%",".279","8.0%","6153"
"Ryan McMahon","COL","26","596","386","90.5","111.5","14.3","28","7.3%","167","43.3%",".254",".242",".449",".420",".334",".324","2.5","24.7%",".306","9.9%","15112"
"Alex Verdugo","BOS","25","604","453","90.0","110.8","7.7","33","7.3%","196","43.3%",".289",".283",".426",".439",".334",".340","2.0","15.9%",".327","8.4%","17027"
"Jesus Aguilar","MIA","31","510","368","89.6","110.6","19.0","31","8.4%","149","40.5%",".261",".259",".459",".448",".334",".329","1.2","18.2%",".279","9.0%","11342"
"Mark Canha","OAK","32","625","393","87.3","107.7","13.5","28","7.1%","139","35.4%",".231",".229",".387",".374",".333",".332","2.6","20.5%",".274","12.3%","11445"
"Lourdes Gurriel Jr.","TOR","27","541","405","89.7","110.7","10.5","39","9.6%","173","42.7%",".276",".267",".466",".450",".333",".333","1.5","18.9%",".305","5.9%","19238"
"Charlie Blackmon","COL","34","582","426","87.6","109.8","10.2","30","7.0%","163","38.3%",".270",".288",".411",".448",".333",".354","1.5","15.6%",".305","9.3%","7859"
"Miguel Sano","MIN","28","532","288","93.4","117.1","17.6","51","17.7%","160","55.6%",".223",".213",".466",".432",".332",".320","0.4","34.4%",".291","11.1%","12164"
"Nicky Lopez","KCR","26","565","438","86.8","107.9","2.8","3","0.7%","116","26.5%",".300",".236",".378",".301",".329",".281","4.4","13.1%",".347","8.7%","19339"
"Austin Hays","BAL","25","529","385","88.8","110.3","12.5","35","9.1%","150","39.0%",".256",".242",".461",".426",".328",".315","2.4","20.2%",".286","5.3%","19363"
"Ian Happ","CHC","26","535","312","89.5","112.1","9.9","35","11.2%","128","41.0%",".226",".218",".434",".394",".328",".317","1.3","29.2%",".281","11.6%","17919"
"Andrew Benintendi","KCR","26","538","403","89.6","107.6","15.4","36","8.9%","172","42.7%",".276",".258",".442",".446",".328",".329","2.1","18.0%",".309","6.7%","17901"
"Austin Meadows","TBR","26","591","404","89.3","110.3","21.7","35","8.7%","152","37.6%",".234",".237",".458",".416",".327",".324","2.0","20.6%",".249","10.0%","15672"
"Josh Rojas","ARI","27","550","355","88.2","104.6","8.4","17","4.8%","109","30.7%",".264",".233",".411",".350",".327",".295","2.0","24.9%",".345","10.5%","19734"
"Trey Mancini","BAL","29","616","414","88.9","113.9","9.7","43","10.4%","172","41.5%",".255",".264",".432",".445",".326",".339","0.7","23.2%",".308","8.3%","15149"
"Mike Yastrzemski","SFG","30","532","341","89.5","109.4","19.4","35","10.3%","134","39.3%",".224",".217",".457",".420",".326",".314","2.2","24.6%",".254","9.6%","14854"
"Yandy Diaz","TBR","29","541","384","89.9","113.5","6.6","27","7.0%","156","40.6%",".256",".251",".387",".392",".325",".331","1.8","15.7%",".286","12.8%","16578"
"Josh Harrison","- - -","33","558","434","87.2","108.2","14.5","19","4.4%","140","32.3%",".279",".276",".400",".415",".325",".331","1.5","13.4%",".313","5.6%","8202"
"Adam Duvall","- - -","32","555","342","89.8","113.8","23.6","55","16.1%","150","43.9%",".228",".223",".491",".486",".324",".325","2.4","31.4%",".260","6.3%","10950"
"Jonathan Schoop","DET","29","674","498","88.1","117.1","10.8","34","6.8%","200","40.2%",".278",".255",".435",".397",".324",".309","1.5","19.7%",".317","5.5%","11265"
"Jorge Soler","- - -","29","602","387","91.1","117.9","15.7","48","12.4%","177","45.7%",".223",".246",".432",".483",".323",".351","-0.2","23.6%",".250","11.1%","14221"
"Dansby Swanson","ATL","27","653","429","89.3","109.6","14.1","49","11.4%","182","42.4%",".248",".246",".449",".444",".322",".327","3.2","25.6%",".297","8.0%","18314"
"Trent Grisham","SDP","24","527","348","88.8","109.4","12.3","18","5.2%","127","36.5%",".242",".236",".413",".357",".320",".306","2.1","22.6%",".292","10.2%","18564"
"Jonathan Villar","NYM","30","505","324","88.0","114.9","7.0","23","7.1%","113","34.9%",".249",".231",".416",".381",".320",".305","2.1","26.1%",".313","9.1%","10071"
"Eric Hosmer","SDP","31","565","413","90.5","112.5","3.3","24","5.8%","194","47.0%",".269",".265",".395",".403",".319",".325","0.0","17.5%",".313","8.5%","3516"
"Tommy Pham","SDP","33","561","351","90.8","112.7","7.6","35","10.0%","164","46.7%",".229",".254",".383",".432",".318",".351","1.5","22.8%",".280","13.9%","2967"
"Pavin Smith","ARI","25","545","393","87.2","110.8","9.0","20","5.1%","168","42.7%",".267",".258",".404",".400",".318",".316","0.3","19.4%",".319","7.7%","19892"
"Francisco Lindor","NYM","27","524","365","90.7","112.9","14.4","30","8.2%","161","44.1%",".230",".249",".412",".441",".317",".341","2.7","18.3%",".248","11.1%","12916"
"Kyle Farmer","CIN","30","529","392","87.3","107.6","15.9","17","4.3%","126","32.1%",".263",".249",".416",".375",".316",".299","1.6","18.3%",".296","4.2%","14813"
"Amed Rosario","CLE","25","588","434","88.8","111.5","5.6","12","2.8%","187","43.1%",".282",".260",".409",".360",".315",".296","2.7","20.4%",".340","5.3%","15518"
"DJ LeMahieu","NYY","32","679","508","90.6","110.6","5.0","19","3.7%","219","43.1%",".268",".279",".362",".391",".315",".338","2.4","13.8%",".301","10.8%","9874"
"Adolis Garcia","TEX","28","622","391","91.0","112.4","14.7","45","11.5%","177","45.3%",".243",".217",".454",".410",".314",".295","2.9","31.2%",".306","5.1%","19287"
"David Peralta","ARI","33","538","397","89.3","113.8","5.3","20","5.0%","165","41.6%",".259",".240",".402",".339",".314",".291","1.1","17.1%",".303","8.6%","2136"
"J.P. Crawford","SEA","26","687","510","86.3","110.5","9.8","12","2.4%","155","30.4%",".273",".256",".376",".336",".314",".297","3.1","16.6%",".320","8.4%","15491"
"Jazz Chisholm Jr.","MIA","23","507","324","90.2","112.1","9.0","28","8.6%","135","41.7%",".248",".233",".425",".400",".312",".304","1.6","28.6%",".319","6.7%","20454"
"Matt Chapman","OAK","28","622","336","89.7","113.3","18.6","46","13.7%","140","41.7%",".210",".207",".403",".414",".311",".320","3.4","32.5%",".272","12.9%","16505"
"Miguel Rojas","MIA","32","539","423","86.2","109.4","11.5","12","2.8%","139","32.9%",".265",".247",".392",".341",".311",".291","2.8","13.7%",".295","6.9%","7802"
"Jed Lowrie","OAK","37","512","353","90.7","109.9","16.4","33","9.3%","162","45.9%",".245",".252",".398",".450",".311",".337","0.9","21.1%",".289","9.6%","4418"
"Myles Straw","- - -","26","638","448","87.1","109.8","11.9","6","1.3%","116","25.9%",".271",".253",".348",".326",".311",".301","3.7","19.0%",".336","10.5%","17620"
"Kyle Seager","SEA","33","670","446","89.0","111.0","19.5","55","12.3%","179","40.1%",".212",".220",".438",".445",".308",".318","2.5","24.0%",".226","8.8%","9785"
"Gleyber Torres","NYY","24","516","361","87.1","111.6","14.2","28","7.8%","129","35.7%",".259",".261",".366",".417",".307",".330","1.7","20.2%",".314","9.7%","16997"
"Whit Merrifield","KCR","32","720","573","86.9","107.8","14.1","20","3.5%","164","28.6%",".277",".259",".395",".378",".306",".300","3.3","14.3%",".309","5.6%","11281"
"Eugenio Suarez","CIN","29","574","339","89.1","111.9","18.3","51","15.0%","135","39.8%",".198",".213",".428",".445",".306",".324","0.6","29.8%",".224","9.8%","12552"
"Miguel Cabrera","DET","38","526","363","91.4","112.6","10.0","30","8.3%","178","49.0%",".256",".231",".386",".410",".305",".311","-0.7","22.4%",".305","7.6%","1744"
"Raimel Tapia","COL","27","533","422","85.7","109.9","-4.4","9","2.1%","133","31.5%",".273",".246",".372",".314",".305",".278","0.4","13.1%",".306","7.5%","14350"
"Jose Iglesias","- - -","31","511","409","85.4","110.2","11.3","14","3.4%","116","28.4%",".271",".267",".391",".362",".304",".296","1.0","14.7%",".305","4.1%","10231"
"Cesar Hernandez","- - -","31","637","438","87.4","110.2","10.7","30","6.8%","145","33.1%",".232",".237",".386",".374",".302",".307","2.2","21.2%",".266","9.3%","10556"
"Tommy Edman","STL","26","691","552","87.6","112.9","9.5","24","4.3%","195","35.3%",".262",".271",".387",".398",".301",".316","2.3","13.7%",".291","5.5%","19470"
"Randal Grichuk","TOR","29","545","401","89.8","113.8","16.1","34","8.5%","165","41.1%",".241",".229",".423",".389",".300",".291","0.4","20.9%",".266","5.0%","10243"
"Nick Solak","TEX","26","511","355","86.9","110.6","7.0","23","6.5%","118","33.2%",".242",".231",".362",".347",".299",".294","1.1","20.9%",".292","6.7%","19294"
"Carlos Santana","KCR","35","659","468","89.9","111.2","12.9","32","6.8%","196","41.9%",".214",".241",".342",".414",".294",".334","-0.3","15.5%",".227","13.1%","2396"
"Hunter Dozier","KCR","29","543","339","89.9","113.0","15.8","30","8.8%","142","41.9%",".216",".222",".394",".382",".293",".297","-0.2","28.4%",".276","7.9%","15117"
"Isiah Kiner-Falefa","TEX","26","677","548","85.5","107.9","5.4","10","1.8%","157","28.6%",".271",".265",".357",".348",".293",".292","2.3","13.3%",".304","4.1%","16512"
"Michael A. Taylor","KCR","30","528","346","89.4","111.5","12.1","23","6.6%","139","40.2%",".244",".241",".356",".381",".286",".297","1.9","27.3%",".319","6.3%","11489"
"David Fletcher","LAA","27","665","573","82.3","107.9","8.4","0","0.0%","89","15.5%",".262",".268",".324",".316",".273",".279","0.3","9.0%",".287","4.7%","17992"
"Elvis Andrus","OAK","32","541","423","87.8","109.8","8.1","9","2.1%","147","34.8%",".243",".271",".320",".369",".270",".307","1.1","15.0%",".283","5.7%","8709"
"Kevin Newman","PIT","27","554","485","85.3","109.4","9.9","8","1.6%","126","26.0%",".226",".255",".309",".330",".249",".277","0.3","7.4%",".236","4.9%","17696"
