"Name","Team","Age","PA","Events","EV","maxEV","LA","Barrels","Barrel%","HardHit","HardHit%","AVG","xBA","SLG","xSLG","wOBA","xwOBA","WAR","K%","BABIP","BB%","playerid"
"Bryce Harper","PHI","28","599","360","92.5","116.3","13.3","65","18.1%","177","49.2%",".309",".297",".615",".598",".431",".427","6.6","22.4%",".359","16.7%","11579"
"Juan Soto","WSN","22","654","414","93.0","116.6","5.8","55","13.3%","217","52.4%",".313",".300",".534",".533",".420",".426","6.6","14.2%",".332","22.2%","20123"
"Vladimir Guerrero Jr.","TOR","22","698","496","95.1","117.4","9.4","75","15.1%","274","55.2%",".311",".303",".601",".580",".419",".413","6.7","15.8%",".313","12.3%","19611"
"Fernando Tatis Jr.","SDP","22","546","329","93.9","116.6","13.8","70","21.3%","183","55.6%",".282",".276",".611",".604",".403",".401","6.1","28.0%",".324","11.4%","19709"
"Shohei Ohtani","LAA","26","639","350","93.6","119.0","16.8","78","22.3%","187","53.4%",".257",".264",".592",".597",".393",".405","5.1","29.6%",".303","15.0%","19755"
"Joey Votto","CIN","37","533","325","92.9","114.1","18.2","56","17.2%","173","53.2%",".266",".271",".563",".582",".391",".404","3.7","23.8%",".287","14.4%","4314"
"Nick Castellanos","CIN","29","585","416","89.8","111.9","14.0","44","10.6%","195","46.9%",".309",".289",".576",".522",".391",".371","4.2","20.7%",".340","7.0%","11737"
"Aaron Judge","NYY","29","633","397","95.8","119.0","11.6","70","17.6%","230","57.9%",".287",".301",".544",".578",".387",".413","5.5","25.0%",".332","11.8%","15640"
"Trea Turner","- - -","28","646","489","89.6","112.2","11.4","36","7.4%","225","46.0%",".328",".296",".536",".471",".386",".357","6.9","17.0%",".362","6.3%","16252"
"Bryan Reynolds","PIT","26","646","444","89.4","112.7","13.4","46","10.4%","181","40.8%",".302",".289",".522",".510",".385",".382","5.5","18.4%",".345","11.6%","19326"
"Tyler O'Neill","STL","26","537","318","93.0","113.1","17.8","57","17.9%","166","52.2%",".286",".274",".560",".570",".384",".388","5.4","31.3%",".366","7.1%","15711"
"C.J. Cron","COL","31","547","357","88.8","114.7","15.8","41","11.5%","150","42.0%",".281",".261",".530",".480",".383",".363","2.3","21.4%",".316","11.0%","12546"
"Kyle Tucker","HOU","24","567","423","91.4","111.1","17.6","49","11.6%","199","47.0%",".294",".303",".557",".566",".383",".395","4.8","15.9%",".304","9.3%","18345"
"Austin Riley","ATL","24","662","430","90.1","114.2","14.2","57","13.3%","196","45.6%",".303",".275",".531",".498",".379",".361","4.2","25.4%",".368","7.9%","18360"
"Freddie Freeman","ATL","31","695","495","91.4","113.6","12.0","57","11.5%","226","45.7%",".300",".313",".503",".569",".379",".411","4.5","15.4%",".321","12.4%","5361"
"Max Muncy","LAD","30","592","378","91.2","112.3","15.2","61","16.1%","175","46.3%",".249",".270",".527",".574",".379",".406","4.9","20.3%",".257","14.0%","13301"
"Matt Olson","OAK","27","673","463","91.6","115.3","16.2","59","12.7%","224","48.4%",".271",".261",".540",".498",".379",".377","5.0","16.8%",".269","13.1%","14344"
"Brandon Crawford","SFG","34","549","383","88.8","109.8","14.7","44","11.5%","165","43.1%",".298",".255",".522",".479",".377",".350","5.5","19.1%",".334","10.2%","5343"
"Paul Goldschmidt","STL","33","679","472","92.6","112.2","17.1","64","13.6%","237","50.2%",".294",".290",".514",".564",".373",".394","4.9","20.0%",".331","9.9%","9218"
"Rafael Devers","BOS","24","664","452","92.9","114.4","13.1","68","15.0%","233","51.5%",".279",".286",".538",".553",".373",".386","4.7","21.5%",".307","9.3%","17350"
"Jose Ramirez","CLE","28","636","470","90.0","112.6","18.3","52","11.1%","199","42.3%",".266",".278",".538",".496",".372",".372","6.3","13.7%",".256","11.3%","13510"
"Cedric Mullins II","BAL","26","675","483","89.4","109.7","14.8","39","8.1%","189","39.1%",".291",".269",".518",".440",".372",".343","5.3","18.5%",".322","8.7%","17929"
"Giancarlo Stanton","NYY","31","579","356","95.1","122.2","10.3","56","15.7%","198","55.6%",".273",".258",".516",".488",".370",".357","2.6","27.1%",".324","10.9%","4949"
"Yordan Alvarez","HOU","24","598","395","93.2","116.4","14.1","63","15.9%","214","54.2%",".277",".276",".531",".557",".370",".384","3.7","24.2%",".320","8.4%","19556"
"Teoscar Hernandez","TOR","28","595","404","91.8","115.7","13.1","56","13.9%","197","48.8%",".296",".279",".524",".523",".369",".365","3.9","24.9%",".352","6.1%","13066"
"Xander Bogaerts","BOS","28","603","423","89.6","113.6","12.5","41","9.7%","182","43.0%",".295",".276",".493",".459",".368",".356","5.2","18.7%",".333","10.3%","12161"
"Marcus Semien","TOR","30","724","509","89.7","109.5","20.3","50","9.8%","210","41.3%",".265",".241",".538",".444",".368",".329","6.6","20.2%",".276","9.1%","12533"
"Mookie Betts","LAD","28","550","385","90.3","107.9","18.9","30","7.8%","159","41.3%",".264",".258",".487",".436",".365",".354","3.9","15.6%",".276","12.4%","13611"
"J.D. Martinez","BOS","33","634","426","92.1","113.2","16.9","53","12.4%","210","49.3%",".286",".285",".518",".522",".364",".371","2.9","23.7%",".340","8.7%","6184"
"Carlos Correa","HOU","26","640","445","90.2","116.4","12.1","42","9.4%","189","42.5%",".279",".293",".485",".475",".364",".372","5.8","18.1%",".308","11.7%","14162"
"Brandon Lowe","TBR","26","615","371","89.3","111.2","16.9","52","14.0%","160","43.1%",".247",".246",".523",".488",".363",".357","5.2","27.2%",".280","11.1%","18882"
"Yuli Gurriel","HOU","37","605","474","89.8","109.1","13.4","16","3.4%","196","41.4%",".319",".269",".462",".380",".363",".324","3.4","11.2%",".336","9.8%","19198"
"Starling Marte","- - -","32","526","371","87.6","112.9","4.6","31","8.4%","146","39.4%",".308",".270",".456",".422",".363",".341","5.4","18.8%",".369","8.2%","9241"
"Jonathan India","CIN","24","631","396","87.6","110.2","13.1","38","9.6%","151","38.1%",".269",".255",".459",".434",".363",".353","3.9","22.3%",".326","11.3%","21523"
"Pete Alonso","NYM","26","637","438","91.0","118.4","14.7","65","14.8%","207","47.3%",".262",".267",".519",".529",".363",".373","3.0","19.9%",".274","9.4%","19251"
"Salvador Perez","KCR","31","665","454","93.0","114.4","15.9","74","16.3%","254","55.9%",".273",".273",".544",".554",".359",".369","3.4","25.6%",".298","4.2%","7304"
"Justin Turner","LAD","36","612","441","90.9","109.8","19.2","35","7.9%","186","42.2%",".278",".267",".471",".460",".358",".357","4.0","16.0%",".292","10.0%","5235"
"Jared Walsh","LAA","27","585","381","89.6","114.8","7.8","43","11.3%","157","41.2%",".277",".253",".509",".426",".357",".323","2.8","26.0%",".335","8.2%","18607"
"Jose Altuve","HOU","31","678","517","87.7","109.1","15.6","33","6.4%","178","34.4%",".278",".259",".489",".415",".357",".331","5.2","13.4%",".280","9.7%","5417"
"Kris Bryant","- - -","29","586","380","88.2","110.4","15.1","39","10.3%","151","39.7%",".265",".256",".481",".438",".356",".342","3.6","23.0%",".313","10.6%","15429"
"Jose Abreu","CHW","34","659","433","92.0","115.6","10.4","44","10.2%","212","49.0%",".261",".249",".481",".447",".354",".346","2.9","21.7%",".293","9.3%","15676"
"Bo Bichette","TOR","23","690","507","91.4","115.5","7.3","50","9.9%","241","47.5%",".298",".287",".484",".480",".354",".353","4.9","19.9%",".339","5.8%","19612"
"Ty France","SEA","26","650","471","88.5","111.1","11.0","32","6.8%","183","38.9%",".291",".267",".445",".427",".353",".343","3.5","16.3%",".327","7.1%","17982"
"Josh Donaldson","MIN","35","543","351","94.1","114.7","14.6","61","17.4%","185","52.7%",".247",".266",".475",".533",".353",".385","2.2","21.0%",".268","13.6%","5038"
"Josh Bell","WSN","28","568","400","92.5","115.8","4.9","35","8.8%","206","51.5%",".261",".273",".476",".474",".352",".361","1.4","17.8%",".276","11.4%","13145"
"Manny Machado","SDP","28","640","473","93.1","119.6","14.0","63","13.3%","246","52.0%",".278",".290",".489",".517",".350",".376","4.4","15.9%",".290","9.8%","11493"
"Randy Arozarena","TBR","26","604","364","89.9","112.6","7.6","30","8.2%","153","42.0%",".274",".216",".459",".358",".350",".299","3.3","28.1%",".363","9.3%","19290"
"Willy Adames","- - -","25","555","342","89.5","112.5","16.8","39","11.4%","153","44.7%",".262",".232",".481",".425",".349",".322","4.1","28.1%",".331","10.3%","15986"
"Jorge Polanco","MIN","27","644","476","89.4","110.0","19.3","48","10.1%","175","36.8%",".269",".264",".503",".479",".349",".346","3.9","18.3%",".282","7.0%","13152"
"Joey Gallo","- - -","27","616","286","91.5","115.1","22.7","53","18.5%","130","45.5%",".199",".199",".458",".453",".348",".351","3.5","34.6%",".246","18.0%","14128"
"Yoan Moncada","CHW","26","616","365","90.1","113.8","11.3","30","8.2%","148","40.5%",".263",".255",".412",".412",".347",".348","4.5","25.5%",".350","13.6%","17232"
"Michael Brantley","HOU","34","508","417","89.5","109.4","9.9","24","5.8%","179","42.9%",".311",".310",".437",".460",".347",".360","2.1","10.4%",".337","6.5%","4106"
"Nelson Cruz","- - -","40","584","400","92.9","117.5","11.8","54","13.5%","208","52.0%",".265",".263",".497",".507",".346",".357","2.0","21.6%",".286","8.7%","2434"
"Avisail Garcia","MIL","30","515","345","90.4","116.7","9.3","42","12.2%","159","46.1%",".262",".274",".490",".504",".346",".363","2.9","23.5%",".291","7.4%","5760"
"Tim Anderson","CHW","28","551","409","89.7","110.2","4.3","32","7.8%","171","41.8%",".309",".273",".469",".429",".345",".319","4.3","21.6%",".372","4.0%","15172"
"Jeimer Candelario","DET","27","626","422","88.7","111.0","12.6","38","9.0%","165","39.1%",".271",".276",".443",".456",".344",".354","3.2","21.6%",".333","10.4%","13621"
"Javier Baez","- - -","28","547","322","90.1","116.7","10.6","43","13.4%","145","45.0%",".265",".236",".494",".444",".344",".320","3.6","33.6%",".352","5.1%","12979"
"Hunter Renfroe","BOS","29","572","397","90.1","116.4","15.6","57","14.4%","176","44.3%",".259",".257",".501",".495",".344",".351","1.8","22.7%",".284","7.7%","15464"
"Trevor Story","COL","28","595","392","90.6","111.0","17.5","39","9.9%","167","42.6%",".251",".243",".471",".448",".341",".333","3.5","23.4%",".293","8.9%","12564"
"Jake Cronenworth","SDP","27","643","488","88.6","110.8","12.5","35","7.2%","169","34.6%",".266",".276",".460",".437",".341",".342","4.4","14.0%",".283","8.6%","18036"
"Adam Frazier","- - -","29","639","512","85.4","108.7","12.6","5","1.0%","128","25.0%",".305",".286",".411",".372",".341",".323","3.4","10.8%",".339","7.5%","15223"
"Luis Urias","MIL","24","570","381","87.9","111.5","14.2","35","9.2%","151","39.6%",".249",".239",".445",".420",".340",".331","2.7","20.4%",".280","11.1%","16622"
"Mitch Haniger","SEA","30","691","459","89.3","110.0","14.8","58","12.6%","205","44.7%",".253",".258",".485",".488",".340",".351","2.8","24.5%",".281","7.8%","14274"
"Anthony Rizzo","- - -","31","576","414","90.1","115.2","14.8","32","7.7%","169","40.8%",".248",".256",".440",".422",".339",".342","1.6","15.1%",".258","9.0%","3473"
"Chris Taylor","LAD","30","582","344","88.2","110.7","17.4","35","10.2%","131","38.1%",".254",".234",".438",".414",".338",".327","3.1","28.7%",".337","10.8%","13757"
"Enrique Hernandez","BOS","29","585","405","90.8","111.3","17.9","34","8.4%","175","43.2%",".250",".250",".449",".445",".338",".344","4.0","18.8%",".278","10.4%","10472"
"Jean Segura","PHI","31","567","441","87.2","113.1","5.8","26","5.9%","165","37.4%",".290",".262",".436",".388",".338",".316","2.5","13.8%",".317","6.9%","5933"
"Robbie Grossman","DET","31","671","410","87.8","110.9","21.1","31","7.6%","139","33.9%",".239",".231",".415",".389",".337",".332","2.7","23.1%",".286","14.6%","5254"
"Nate Lowe","TEX","25","642","398","90.8","113.9","5.0","38","9.5%","181","45.5%",".264",".233",".415",".395",".337",".321","1.6","25.2%",".339","12.5%","19566"
"Nolan Arenado","STL","30","653","504","89.0","110.6","20.0","34","6.7%","187","37.1%",".255",".246",".494",".413",".336",".310","4.0","14.7%",".249","7.7%","9777"
"Ozzie Albies","ATL","24","686","508","89.6","111.4","21.1","47","9.3%","187","36.8%",".259",".255",".488",".453",".336",".329","4.2","18.7%",".278","6.9%","16556"
"Dylan Carlson","STL","22","619","399","88.2","109.0","15.1","28","7.0%","122","30.6%",".266",".243",".437",".397",".336",".318","2.8","24.6%",".332","9.2%","20126"
"J.T. Realmuto","PHI","30","537","349","89.6","111.2","11.5","30","8.6%","156","44.7%",".263",".249",".439",".406",".336",".325","4.4","24.0%",".325","8.9%","11739"
