"","p_throws","hitter","pitch_type","pitch_speed","min_x","max_x","min_z","max_z","min_spin","max_spin"
"672","R","R","ST",74,1.21,2.13,-0.5,0.45,2138,2863
"673","R","R","ST",75,1.04,1.96,-0.5,0.45,2127,2790
"674","R","R","ST",76,0.44,2.02,-0.77,0.77,2141,2923
"675","R","R","ST",77,0.85,2.11,-0.61,0.71,2271,2918
"676","R","R","ST",78,0.79,2.1,-0.77,0.88,2248,2950
"677","R","R","ST",79,0.35,2.07,-0.72,0.71,1659,2926
"678","R","R","ST",80,0.14,2.14,-0.74,0.92,1920,2904
"679","R","R","ST",81,0.08,2.1,-0.81,1.09,2075,2928
"680","R","R","ST",82,0.09,2.2,-1.05,1.1,1831,2981
"681","R","R","ST",83,0.11,2.17,-1.02,1.02,1996,3011
"682","R","R","ST",84,-0.04,2.03,-0.94,1.01,1724,3028
"683","R","R","ST",85,0.12,1.84,-0.97,1.04,2028,3107
"684","R","R","ST",86,0.11,1.79,-0.92,1.13,2166,2996
"685","R","R","ST",87,-0.1,1.86,-0.64,1.13,2289,2839
"686","R","R","ST",88,0.07,1.51,-0.53,1.01,2201,2720
"687","R","R","ST",89,0.65,1.36,0.18,0.95,2387,2750
"688","R","R","ST",90,0.81,1.12,-0.05,0.71,2488,2726
"689","R","R","SV",77,1.56,1.56,-0.27,-0.27,2234,2234
"690","R","R","SV",78,1.54,1.54,-0.39,-0.39,2181,2181
"691","R","R","SV",79,0.85,1.75,-0.7,-0.38,2077,2329
"692","R","R","SV",80,0.91,1.91,-0.63,-0.05,2137,2903
"693","R","R","SV",81,0.85,1.78,-0.69,0.26,2015,2779
"694","R","R","SV",82,0.82,1.87,-0.82,0.38,1143,2597
"695","R","R","SV",83,0.76,1.84,-0.79,0.5,2096,2936
"696","R","R","SV",84,0.62,1.71,-1.07,0.65,2048,3033
"697","R","R","SV",85,0.58,1.85,-0.85,0.66,2168,2954
"698","R","R","SV",86,0.4,1.64,-0.78,0.63,2278,3089
"699","R","R","SV",87,0.54,1.5,-0.36,0.71,2325,2892
"700","R","R","SV",88,0.73,1.14,-0.3,0.51,2554,2796
