"","Name","pitch_type","p_throws","hitter","Pitches","Speed","Spin Rate","X Movement","Z Movement","Whiff Prop","Strike Prop","Barrel Prop"
"1","Adam Wainwright","CH","R","L",169,82.0479289940828,1757.55029585799,-1.19,0.666390532544379,0.0650887573964496,0.207100591715976,0
"2","Adam Wainwright","CU","R","L",556,72.7402877697842,2763.51891891892,1.33327338129496,-1.25548561151079,0.0557553956834532,0.311151079136691,0.00899280575539572
"3","Adam Wainwright","CU","R","R",404,73.1898514851485,2791.31930693069,1.34980198019802,-1.22009900990099,0.106435643564356,0.356435643564356,0.00742574257425742
"4","Adam Wainwright","FC","R","L",293,84.5737201365188,2398.79863481229,0.501843003412969,0.582286689419795,0.0580204778156996,0.228668941979522,0.0170648464163822
"5","Adam Wainwright","FC","R","R",491,84.1419551934827,2418.8533604888,0.537433808553971,0.459877800407332,0.10183299389002,0.281059063136456,0.0142566191446029
"6","Adam Wainwright","FF","R","L",204,87.928431372549,2224.80295566502,-0.122401960784314,1.26397058823529,0.0490196078431373,0.240196078431373,0.00980392156862746
"7","Adam Wainwright","SI","R","L",340,88.1461764705882,2179.70588235294,-1.11164705882353,0.982911764705882,0.0176470588235294,0.220588235294118,0.0205882352941177
"8","Adam Wainwright","SI","R","R",531,88.863088512241,2213.81167608286,-1.07003766478343,1.02967984934087,0.0301318267419962,0.32391713747646,0.0112994350282486
"9","Zack Greinke","CH","R","L",281,86.3690391459075,1651.51428571429,-1.07181494661922,0.309537366548043,0.0604982206405694,0.128113879003559,0.00355871886120997
"10","Zack Greinke","CU","R","L",225,71.5711111111111,2422.91111111111,1.04337777777778,-0.950977777777778,0.0577777777777777,0.257777777777778,0
"11","Zack Greinke","CU","R","R",237,72.3232067510549,2442.16877637131,1.04645569620253,-0.913502109704641,0.0886075949367089,0.257383966244726,0.0168776371308017
"12","Zack Greinke","FC","R","R",279,85.6379928315412,2374.24820143885,0.556093189964158,0.477311827956989,0.0896057347670251,0.232974910394265,0.017921146953405
"13","Zack Greinke","FF","R","L",376,89.0425531914894,2284.5664893617,-0.184920212765957,1.32848404255319,0.0372340425531915,0.367021276595745,0.0106382978723404
"14","Zack Greinke","FF","R","R",494,89.2404858299595,2286.28542510121,-0.166842105263158,1.31953441295547,0.0688259109311741,0.299595141700405,0.034412955465587
"15","Zack Greinke","SL","R","R",164,81.7243902439024,2450.26829268293,0.70140243902439,0.503658536585366,0.109756097560976,0.292682926829268,0.0121951219512195
"16","Justin Verlander","CU","R","L",311,78.9627009646302,2648.29581993569,0.579614147909968,-0.952958199356913,0.0868167202572348,0.35048231511254,0.00964630225080387
"17","Justin Verlander","CU","R","R",180,79.1611111111111,2635.81005586592,0.5745,-0.908388888888889,0.0888888888888889,0.344444444444444,0.0111111111111111
"18","Justin Verlander","FF","R","L",699,94.9163090128755,2414.95994277539,-0.807024320457797,1.60735336194564,0.0858369098712445,0.243204577968526,0.0128755364806867
"19","Justin Verlander","FF","R","R",616,95.136525974026,2431.65040650407,-0.774090909090909,1.59426948051948,0.0876623376623377,0.238636363636364,0.0178571428571429
"20","Justin Verlander","SL","R","L",300,87.3033333333333,2466.3745819398,0.323,0.380966666666667,0.156666666666667,0.28,0.00666666666666666
"21","Justin Verlander","SL","R","R",438,87.5148401826484,2462.77853881279,0.342237442922374,0.415182648401827,0.178082191780822,0.328767123287671,0.0114155251141553
"22","Corey Kluber","CH","R","L",238,82.9050420168067,1652.03781512605,-1.13441176470588,0.517563025210084,0.180672268907563,0.277310924369748,0.0126050420168067
"23","Corey Kluber","CU","R","L",217,80.3691244239631,2503.56221198157,1.38387096774194,0.0883410138248848,0.0691244239631337,0.341013824884793,0.0184331797235023
"24","Corey Kluber","CU","R","R",452,80.8929203539823,2536.06637168142,1.37303097345133,0.108230088495575,0.146017699115044,0.331858407079646,0.0176991150442478
"25","Corey Kluber","FC","R","L",385,86.3,2452.98441558442,0.239766233766234,0.702077922077922,0.127272727272727,0.228571428571429,0.0311688311688312
"26","Corey Kluber","FC","R","R",454,86.2995594713656,2471.30837004405,0.239140969162996,0.707488986784141,0.149779735682819,0.359030837004405,0.00881057268722467
"27","Corey Kluber","SI","R","L",286,88.7468531468531,2063.50699300699,-1.36604895104895,0.721643356643357,0.027972027972028,0.307692307692308,0.0104895104895105
"28","Corey Kluber","SI","R","R",372,88.9809139784946,2083.75268817204,-1.3585752688172,0.724193548387097,0.0376344086021506,0.317204301075269,0.0188172043010753
"29","Rich Hill","CU","L","R",683,71.7884333821376,2629.63689604685,-1.48342606149341,-1.121317715959,0.0746705710102488,0.284040995607614,0.0131771595900439
"30","Rich Hill","FC","L","R",252,84.2119047619048,2273.59126984127,-0.164126984126984,0.735198412698413,0.119047619047619,0.313492063492064,0.0119047619047619
"31","Rich Hill","FF","L","R",646,88.5366873065015,2252.35147744946,0.684984520123839,1.5550773993808,0.089783281733746,0.320433436532508,0.021671826625387
"32","Rich Hill","ST","L","L",125,69.1272,2533.52,-1.90312,0.1608,0.208,0.288,0.032
"33","Charlie Morton","CH","R","L",129,87.0294573643411,2174.25,-1.44573643410853,0.121860465116279,0.186046511627907,0.333333333333333,0.00775193798449611
"34","Charlie Morton","CH","R","R",119,87.3033613445378,2131.16806722689,-1.48168067226891,0.145126050420168,0.142857142857143,0.235294117647059,0.00840336134453782
"35","Charlie Morton","CU","R","L",640,81.23890625,3070.178125,1.2985625,-0.784984375,0.1546875,0.3859375,0.00624999999999998
